req_id	source_section	source_group	source_item	subcategory	owner	phase	feature	mctash_default	mctash_posix	tests	notes
BPOSIX.CORE.001	6.11.2	core-posix-mode	1	startup-mode	main	startup	Bash ensures that the ‘POSIXLY_CORRECT’ variable is set.	covered	covered	bash-posix-doc-001.sh	Row-level comparator evidence now passes for --posix POSIXLY_CORRECT exposure in focused lane; Source: bash/POSIX 6.11.2 item 1.
BPOSIX.CORE.002	6.11.2	core-posix-mode	2	startup-mode	main	startup	Bash reads and executes the POSIX startup files (‘$ENV’) rather than the normal Bash files (*note Bash Startup Files::.	covered	covered	bash-posix-doc-002.sh	Row-level comparator evidence now passes for POSIX interactive ENV startup loading in focused lane; Source: bash/POSIX 6.11.2 item 2.
BPOSIX.CORE.003	6.11.2	core-posix-mode	3	parse-grammar	parser	parse	Alias expansion is always enabled, even in non-interactive shells.	covered	covered	bash-posix-doc-003.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 3.
BPOSIX.CORE.004	6.11.2	core-posix-mode	4	parse-grammar	parser	parse	Reserved words appearing in a context where reserved words are recognized do not undergo alias expansion.	covered	covered	bash-posix-doc-004.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 4.
BPOSIX.CORE.005	6.11.2	core-posix-mode	5	parse-grammar	parser	parse	Alias expansion is performed when initially parsing a command substitution.  The default (non-posix) mode generally defers it, when enabled, until the command substitution is executed.  This means that command substitution will not expand aliases that are defined after the command substitution is initially parsed (e.g., as part of a function definition).	covered	covered	bash-posix-doc-005.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 5.
BPOSIX.CORE.006	6.11.2	core-posix-mode	6	parse-grammar	parser	parse	The ‘time’ reserved word may be used by itself as a simple command. When used in this way, it displays timing statistics for the shell and its completed children.  The ‘TIMEFORMAT’ variable controls the format of the timing information.	covered	covered	bash-posix-doc-006.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 6.
BPOSIX.CORE.007	6.11.2	core-posix-mode	7	parse-grammar	parser	parse	The parser does not recognize ‘time’ as a reserved word if the next token begins with a ‘-’.	covered	covered	bash-posix-doc-007.sh	Row-level comparator evidence now passes after POSIX dispatch model update for `time -...`; Source: bash/POSIX 6.11.2 item 7.
BPOSIX.CORE.008	6.11.2	core-posix-mode	8	parse-grammar	parser	parse	When parsing and expanding a ${...} expansion that appears within double quotes, single quotes are no longer special and cannot be used to quote a closing brace or other special character, unless the operator is one of those defined to perform pattern removal. In this case, they do not have to appear as matched pairs.	covered	covered	bash-posix-doc-008.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 8.
BPOSIX.CORE.009	6.11.2	core-posix-mode	9	expansion-redir	expand	expand	Redirection operators do not perform filename expansion on the word in a redirection unless the shell is interactive.	covered	covered	bash-posix-doc-009.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 9.
BPOSIX.CORE.010	6.11.2	core-posix-mode	10	expansion-redir	expand	expand	Redirection operators do not perform word splitting on the word in a redirection.	covered	covered	bash-posix-doc-010.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 10.
